episode,win,reward,steps,trial_count,epsilon,w_norm
181,0,0.9000,3,16,0.27417,2.2196
182,0,3.0000,5,33,0.27404,2.2289
183,0,6.5000,13,52,0.27390,2.3342
184,0,3.9000,5,42,0.27376,2.3476
185,0,5.9000,11,50,0.27363,2.4579
186,0,4.4000,7,43,0.27349,2.4798
187,0,-1.0000,1,1,0.27335,2.4342
188,0,5.5000,2,64,0.27322,2.4671
189,0,7.6000,13,63,0.27308,2.5678
190,0,-0.7000,2,2,0.27294,2.4791
191,0,-0.7000,2,2,0.27281,2.4051
192,0,5.4000,8,51,0.27267,2.4416
193,0,5.4000,5,57,0.27253,2.5047
194,0,-0.4000,3,3,0.27240,2.4062
195,0,4.2000,3,49,0.27226,2.4171
196,0,3.4000,3,41,0.27212,2.4252
197,0,-0.7000,2,2,0.27199,2.3615
198,0,5.6000,5,59,0.27185,2.4096
199,0,6.3000,10,56,0.27172,2.5156
200,0,4.0000,3,47,0.27158,2.5205
201,0,6.2000,8,59,0.27144,2.6302
202,0,1.3000,2,22,0.27131,2.5835
203,0,-1.0000,1,1,0.27117,2.5383
204,0,5.9000,5,62,0.27104,2.5647
205,0,-0.1000,4,4,0.27090,2.4624
206,0,4.7000,7,46,0.27077,2.4987
207,0,-0.7000,2,2,0.27063,2.4391
208,0,6.0000,6,61,0.27050,2.4727
209,0,0.8000,7,7,0.27036,2.3924
210,0,4.7000,11,38,0.27023,2.4568
211,0,6.5000,8,62,0.27009,2.5161
212,0,6.2000,9,57,0.26996,2.6013
213,0,4.7000,7,46,0.26982,2.6240
214,0,6.7000,8,64,0.26969,2.6990
215,0,4.2000,10,35,0.26955,2.6615
216,0,3.1000,11,22,0.26942,2.6042
217,0,7.5000,13,62,0.26928,2.7066
218,0,-0.4000,3,3,0.26915,2.6111
219,0,0.2000,5,5,0.26901,2.5337
220,0,0.7000,3,14,0.26888,2.4913
221,0,4.9000,4,54,0.26874,2.5330
222,0,-0.4000,3,3,0.26861,2.4719
223,0,-0.1000,4,4,0.26847,2.4238
224,0,6.9000,9,64,0.26834,2.4605
225,0,-1.0000,1,1,0.26821,2.4372
226,0,0.2000,5,5,0.26807,2.3873
227,0,7.5000,11,66,0.26794,2.4709
228,0,-0.1000,4,4,0.26780,2.4161
229,0,4.7000,2,56,0.26767,2.4365
230,0,5.9000,10,52,0.26754,2.4842
231,0,4.2000,7,41,0.26740,2.5207
232,0,8.1000,15,64,0.26727,2.6729
233,0,-0.7000,2,2,0.26713,2.6066
234,0,5.4000,8,51,0.26700,2.6724
235,0,5.9000,6,60,0.26687,2.7410
236,0,2.3000,3,30,0.26673,2.7035
237,0,3.1000,3,38,0.26660,2.6857
238,0,1.6000,3,23,0.26647,2.6477
239,0,5.3000,4,58,0.26633,2.6695
240,0,5.0000,6,51,0.26620,2.7057
241,0,7.7000,12,66,0.26607,2.8303
242,0,2.0000,3,27,0.26594,2.8092
243,0,6.6000,8,63,0.26580,2.8948
244,0,5.9000,5,62,0.26567,2.9116
245,0,2.3000,5,26,0.26554,2.8440
246,0,1.4000,2,23,0.26540,2.8108
247,0,-1.0000,1,1,0.26527,2.7758
248,0,1.1000,8,8,0.26514,2.6948
249,0,5.5000,6,56,0.26501,2.7631
250,0,7.7000,11,68,0.26487,2.8154
251,0,-0.4000,3,3,0.26474,2.7361
252,0,2.5000,2,34,0.26461,2.7265
253,0,7.0000,11,61,0.26448,2.8009
254,0,-1.0000,1,1,0.26434,2.7653
255,0,6.2000,13,49,0.26421,2.8737
256,0,-0.1000,4,4,0.26408,2.7767
257,0,6.9000,9,64,0.26395,2.8345
258,0,6.6000,8,63,0.26382,2.9022
259,0,5.1000,7,50,0.26368,2.9038
260,0,5.6000,11,47,0.26355,2.9721
261,0,-1.0000,1,1,0.26342,2.9279
262,0,2.6000,2,35,0.26329,2.9089
263,0,3.9000,3,46,0.26316,2.9165
264,0,4.2000,4,47,0.26303,2.9261
265,0,-1.0000,1,1,0.26289,2.8886
266,0,6.2000,6,63,0.26276,2.9464
267,0,-1.0000,1,1,0.26263,2.9100
268,0,5.0000,5,53,0.26250,2.9198
269,0,6.3000,10,56,0.26237,2.9579
270,0,-0.7000,2,2,0.26224,2.8948
271,0,2.8000,7,27,0.26211,2.8768
272,0,5.5000,7,54,0.26197,2.9320
273,0,8.2000,17,61,0.26184,2.9818
274,0,6.8000,9,63,0.26171,3.0145
275,0,7.2000,9,67,0.26158,3.0815
276,0,5.7000,9,52,0.26145,3.1167
277,0,5.8000,8,55,0.26132,3.1471
278,0,5.1000,12,40,0.26119,3.1759
279,0,6.2000,7,61,0.26106,3.2008
280,0,-1.0000,1,1,0.26093,3.1502
281,0,2.9000,3,36,0.26080,3.1276
282,0,-1.0000,1,1,0.26067,3.0836
283,0,-1.0000,1,1,0.26054,3.0430
